,title,price,stars,reviews
94,"Vivo V19 (Piano Black, 256 GB)","₹27,990",4.4,"5,697 Ratings & 556 Reviews"
95,"Vivo U10 (Electric Blue, 32 GB)","₹10,949",4.4,"37,443 Ratings & 2,674 Reviews"
96,"Vivo Y91i (Fusion Black, 32 GB)","₹8,990",4.3,"3,814 Ratings & 244 Reviews"
97,"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹19,948",4.6,43 Ratings & 3 Reviews
98,"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹19,975",4.6,43 Ratings & 3 Reviews
99,"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹16,944",4.2,"1,571 Ratings & 132 Reviews"
100,"Vivo Y50 (Pearl White, 128 GB)","₹17,990",4.4,"3,264 Ratings & 277 Reviews"
101,"Realme Narzo 10A (So Blue, 32 GB)","₹8,999",4.5,"47,347 Ratings & 3,266 Reviews"
102,"Realme Narzo 10A (So Blue, 64 GB)","₹9,999",4.5,"41,450 Ratings & 2,553 Reviews"
103,"Realme Narzo 10A (So White, 64 GB)","₹9,999",4.5,"41,450 Ratings & 2,553 Reviews"
104,"Redmi K20 Pro (Glacier Blue, 128 GB)","₹22,999",4.5,"67,545 Ratings & 8,345 Reviews"
105,"OPPO A12 (Blue, 32 GB)","₹9,990",4.3,"13,643 Ratings & 1,062 Reviews"
106,"OPPO A12 (Blue, 64 GB)","₹11,490",4.3,"1,799 Ratings & 109 Reviews"
107,Micromax X746,"₹1,199",4,"6,727 Ratings & 824 Reviews"
108,Micromax X746,"₹1,199",4,"6,727 Ratings & 824 Reviews"
109,"Redmi Note 8 Pro (Halo White, 128 GB)","₹17,499",4.4,"66,102 Ratings & 5,603 Reviews"
110,"Samsung Galaxy M21 (Raven Black, 64 GB)","₹15,518",4.4,830 Ratings & 57 Reviews
111,"Redmi 8 (Onyx Black, 64 GB)","₹9,999",4.4,"7,79,711 Ratings & 57,376 Reviews"
112,"Realme C3 (Frozen Blue, 32 GB)","₹8,999",4.4,"80,341 Ratings & 6,113 Reviews"
113,"Realme 6i (Lunar White, 64 GB)","₹12,999",4.5,"26,408 Ratings & 2,857 Reviews"
114,"Realme 6i (Eclipse Black, 64 GB)","₹12,999",4.5,"26,408 Ratings & 2,857 Reviews"
115,"POCO M2 Pro (Out of the Blue, 64 GB)","₹14,999",4.5,"25,062 Ratings & 2,959 Reviews"
116,"POCO M2 Pro (Two Shades of Black, 64 GB)","₹14,999",4.5,"25,062 Ratings & 2,959 Reviews"
117,"POCO M2 Pro (Out of the Blue, 64 GB)","₹13,999",4.5,"11,722 Ratings & 1,277 Reviews"
118,"Realme C2 (Diamond Black, 32 GB)","₹6,999",4.4,"8,47,793 Ratings & 68,787 Reviews"
119,"Redmi Note 9 (Arctic White, 64 GB)","₹14,995",4.4,"1,216 Ratings & 90 Reviews"
120,"Vivo Z1x (Fusion Blue, 128 GB)","₹18,990",4.4,"22,314 Ratings & 2,386 Reviews"
121,"Vivo Z1x (Fusion Blue, 64 GB)","₹16,990",4.4,"1,52,124 Ratings & 16,285 Reviews"
122,"OPPO A31 (Fantasy White, 64 GB)","₹12,490",4.3,"13,092 Ratings & 921 Reviews"
123,"OPPO A31 (Mystery Black, 64 GB)","₹12,490",4.3,"13,092 Ratings & 921 Reviews"
124,"Vivo Z1x (Phantom Purple, 64 GB)","₹16,990",4.4,"1,52,124 Ratings & 16,285 Reviews"
125,"Vivo Y91i (Ocean Blue, 16 GB)","₹8,350",4.3,"26,294 Ratings & 1,828 Reviews"
126,"Vivo U10 (Thunder Black, 32 GB)","₹10,990",4.4,"37,443 Ratings & 2,674 Reviews"
127,"Redmi K20 Pro (Flame Red, 128 GB)","₹22,999",4.5,"67,545 Ratings & 8,345 Reviews"
128,Micromax X741,"₹1,289",4,"18,495 Ratings & 1,933 Reviews"
129,"Vivo S1 Pro (Mystic Black, 128 GB)","₹19,990",4.4,"14,489 Ratings & 1,129 Reviews"
130,"Realme X2 Pro (Lunar White, 128 GB)","₹28,999",4.5,"15,201 Ratings & 2,377 Reviews"
131,"Realme X2 Pro (Lunar White, 256 GB)","₹32,999",4.6,"6,459 Ratings & 987 Reviews"
132,Lava GEM,"₹1,579",4.2,"10,417 Ratings & 1,208 Reviews"
133,"Vivo Y30 (Emerald Black, 128 GB)","₹14,990",4.3,"1,850 Ratings & 121 Reviews"
134,Samsung Guru 1200,"₹1,410",4.3,"1,28,530 Ratings & 12,181 Reviews"
135,"Vivo Y30 (Dazzle Blue, 128 GB)","₹14,990",4.3,"1,850 Ratings & 121 Reviews"
